证券代码,交易月份,月收盘价,回报率（红利）,回报率（无红利）
2036,2017-11,18.750,-0.015231,-0.015231
2036,2017-12,16.230,-0.134400,-0.134400
2036,2018-01,15.000,-0.075786,-0.075786
2036,2018-02,16.840,0.122667,0.122667
2036,2018-03,16.350,-0.029097,-0.029097
2036,2018-04,15.230,-0.068502,-0.068502
2036,2018-05,13.770,-0.095863,-0.095863
2036,2018-06,13.120,-0.047204,-0.047204
2036,2018-07,12.120,-0.072350,-0.072515
2036,2018-08,10.700,-0.117162,-0.117162
2036,2018-09,9.920,-0.072897,-0.072897
2036,2018-10,8.890,-0.103831,-0.103831
2036,2018-11,9.050,0.017998,0.017998
2036,2018-12,8.600,-0.049724,-0.049724
2036,2019-01,8.710,0.012791,0.012791
2036,2019-02,11.700,0.343284,0.343284
2036,2019-03,13.700,0.170940,0.170940
2036,2019-04,13.210,-0.035766,-0.035766
2036,2019-05,11.250,-0.148372,-0.148372
2036,2019-06,9.150,0.061333,0.061333
2036,2019-07,11.140,0.217486,0.217486
2036,2019-08,11.060,-0.007181,-0.007181
2036,2019-09,14.200,0.283906,0.283906
2036,2019-10,14.060,-0.009859,-0.009859
2507,2017-11,16.280,-0.046838,-0.046838
2507,2017-12,16.770,0.030098,0.030098
2507,2018-03,19.300,0.150865,0.150865
2507,2018-04,22.300,0.155440,0.155440
2507,2018-05,27.800,0.246637,0.246637
2507,2018-06,25.680,-0.071070,-0.070863
2507,2018-07,30.350,0.181854,0.181854
2507,2018-08,24.480,-0.193410,-0.193410
2507,2018-09,26.050,0.064134,0.064134
2507,2018-10,20.200,-0.224568,-0.224568
2507,2018-11,21.080,0.043564,0.043564
2507,2018-12,21.600,0.024668,0.024668
2507,2019-01,23.000,0.064815,0.064815
2507,2019-02,26.390,0.147391,0.147391
2507,2019-03,31.020,0.175445,0.175445
2507,2019-04,28.690,-0.075113,-0.075113
2507,2019-05,28.690,0.000000,0.000000
2507,2019-06,30.500,0.072949,0.072151
2507,2019-07,25.200,-0.173770,-0.173770
2507,2019-08,22.310,-0.114683,-0.114683
2507,2019-09,22.330,0.000896,0.000896
2507,2019-10,23.250,0.041200,0.041200
600519,2017-11,631.000,0.020986,0.020986
600519,2017-12,697.490,0.105372,0.105372
600519,2018-01,764.540,0.096130,0.096130
600519,2018-02,725.620,-0.050906,-0.050906
600519,2018-03,683.620,-0.057882,-0.057882
600519,2018-04,662.530,-0.030850,-0.030850
600519,2018-05,751.130,0.133730,0.133730
600519,2018-06,731.460,-0.012337,-0.011544
600519,2018-07,726.440,-0.006863,-0.006863
600519,2018-08,659.190,-0.092575,-0.092575
600519,2018-09,730.000,0.107420,0.107420
600519,2018-10,548.900,-0.248082,-0.248082
600519,2018-11,565.000,0.029331,0.029331
600519,2018-12,590.010,0.044265,0.044265
600519,2019-01,689.600,0.168794,0.168794
600519,2019-02,755.010,0.094852,0.094852
600519,2019-03,853.990,0.131098,0.131098
600519,2019-04,974.000,0.140529,0.140529
600519,2019-05,890.000,-0.086242,-0.086242
600519,2019-06,984.000,0.121953,0.121954
600519,2019-07,972.600,-0.011585,-0.011585
600519,2019-08,1142.000,0.174172,0.174172
600519,2019-09,1150.000,0.007005,0.007005
600519,2019-10,1180.010,0.026096,0.026096