交易日期,股票代码,月收盘价,收益率（红利）,收益率（无红利）,,
2013-01,2036,8.960,-0.002227,-0.002227,,
2013-02,2036,10.170,0.135045,0.135045,,
2013-03,2036,8.510,-0.163225,-0.163225,,
2013-04,2036,7.770,-0.086957,-0.086957,,
2013-05,2036,9.200,0.184041,0.184041,,
2013-06,2036,6.250,-0.320652,-0.320652,,
2013-07,2036,6.840,0.102741,0.102400,,
2013-08,2036,7.250,0.059942,0.059942,,
2013-09,2036,7.620,0.051034,0.051034,,
2013-10,2036,7.690,0.009186,0.009186,,
2013-11,2036,8.520,0.107932,0.107932,,
2013-12,2036,8.090,-0.050470,-0.050469,,
2014-01,2036,7.250,-0.103832,-0.103832,,
2014-02,2036,7.210,-0.005517,-0.005517,,
2014-03,2036,7.170,-0.005548,-0.005548,,
2014-04,2036,7.280,0.015342,0.015342,,
2014-05,2036,7.300,0.009653,0.009615,,
2014-06,2036,7.800,0.068493,0.068493,,
2014-07,2036,8.360,0.071795,0.071795,,
2014-08,2036,8.470,0.013158,0.013158,,
2014-09,2036,10.620,0.253837,0.253837,,
2014-10,2036,9.920,0.066944,0.064026,,
2014-11,2036,9.100,-0.082661,-0.082661,,
2014-12,2036,8.130,-0.106593,-0.106593,,
2015-01,2036,8.590,0.056581,0.056581,,
2015-02,,,,,,
2015-03,,,,,,
2015-04,,,,,,
2015-05,2036,13.840,0.611176,0.611176,,
2015-06,2036,21.190,0.532101,0.532153,,
2015-07,2036,17.480,-0.175083,-0.175083,,
2015-08,2036,14.860,-0.149886,-0.149886,,
2015-09,2036,15.380,0.034993,0.034993,,
2015-10,2036,17.950,0.167100,0.167100,,
2015-11,2036,34.610,0.928134,0.928134,,
2015-12,2036,30.800,-0.110084,-0.110084,,
2016-01,2036,19.700,-0.360390,-0.360390,,
2016-02,2036,22.100,0.121827,0.121827,,
2016-03,2036,25.300,0.144796,0.144796,,
2016-04,2036,20.330,-0.196443,-0.196443,,
2016-05,2036,18.740,-0.078210,-0.078210,,
2016-06,2036,23.410,0.249200,0.249200,,
2016-07,2036,19.430,-0.168910,-0.168701,,
2016-08,2036,24.530,0.262481,0.262481,,
2016-09,2036,26.550,0.082348,0.082348,,
2016-10,2036,24.160,-0.090019,-0.090019,,
2016-11,2036,21.450,-0.112169,-0.112169,,
2016-12,2036,19.160,-0.106760,-0.106760,,
2017-01,2036,17.870,-0.067328,-0.067328,,
2017-02,2036,19.340,0.082261,0.082261,,
2017-03,2036,17.800,-0.079628,-0.079628,,
2017-04,2036,17.050,-0.042135,-0.042135,,
2017-05,2036,15.870,-0.069208,-0.069208,,
2017-06,2036,16.500,0.041974,0.041997,,
2017-07,2036,16.030,-0.028485,-0.028485,,
2017-08,2036,19.210,0.198378,0.198378,,
2017-09,2036,20.740,0.079646,0.079646,,
2017-10,2036,19.040,-0.081967,-0.081967,,
2017-11,2036,18.750,-0.015231,-0.015231,,
2017-12,2036,16.230,-0.134400,-0.134400,,
2018-01,2036,15.000,-0.075786,-0.075786,,
2018-02,2036,16.840,0.122667,0.122667,,
2018-03,2036,16.350,-0.029097,-0.029097,,
2018-04,2036,15.230,-0.068502,-0.068502,,
2018-05,2036,13.770,-0.095863,-0.095863,,
2018-06,2036,13.120,-0.047204,-0.047204,,
2018-07,2036,12.120,-0.072350,-0.072515,,
2018-08,2036,10.700,-0.117162,-0.117162,,
2018-09,2036,9.920,-0.072897,-0.072897,,
2018-10,2036,8.890,-0.103831,-0.103831,,
2018-11,2036,9.050,0.017998,0.017998,,
2018-12,2036,8.600,-0.049724,-0.049724,,
2019-01,2036,8.710,0.012791,0.012791,,
2019-02,2036,11.700,0.343284,0.343284,,
2019-03,2036,13.700,0.170940,0.170940,,
2019-04,2036,13.210,-0.035766,-0.035766,,
2019-05,2036,11.250,-0.148372,-0.148372,,
2019-06,2036,9.150,0.061333,0.061333,,