Indexcd,Month,Idxrtn
300,2013-01-01,0.064975
300,2013-02-01,-0.005045
300,2013-03-01,-0.066675
300,2013-04-01,-0.019148
300,2013-05-01,0.065018
300,2013-06-01,-0.155687
300,2013-07-01,-0.003462
300,2013-08-01,0.055124
300,2013-09-01,0.041111
300,2013-10-01,-0.014661
300,2013-11-01,0.027478
300,2013-12-01,-0.044658
300,2014-01-01,-0.054753
300,2014-02-01,-0.010660
300,2014-03-01,-0.014991
300,2014-04-01,0.005756
300,2014-05-01,-0.001017
300,2014-06-01,0.004013
300,2014-07-01,0.085507
300,2014-08-01,-0.005091
300,2014-09-01,0.048198
300,2014-10-01,0.023393
300,2014-11-01,0.119799
300,2014-12-01,0.258075
300,2015-01-01,-0.028105
300,2015-02-01,0.040314
300,2015-03-01,0.133888
300,2015-04-01,0.172463
300,2015-05-01,0.019146
300,2015-06-01,-0.075985
300,2015-07-01,-0.146725
300,2015-08-01,-0.117946
300,2015-09-01,-0.048592
300,2015-10-01,0.103383
300,2015-11-01,0.009149
300,2015-12-01,0.046151
300,2016-01-01,-0.210376
300,2016-02-01,-0.023293
300,2016-03-01,0.118375
300,2016-04-01,-0.019062
300,2016-05-01,0.004060
300,2016-06-01,-0.004934
300,2016-07-01,0.015856
300,2016-08-01,0.038660
300,2016-09-01,-0.022390
300,2016-10-01,0.025511
300,2016-11-01,0.060463
300,2016-12-01,-0.064421
300,2017-01-01,0.023528
300,2017-02-01,0.019141
300,2017-03-01,0.000937
300,2017-04-01,-0.004714
300,2017-05-01,0.015446
300,2017-06-01,0.049791
300,2017-07-01,0.019383
300,2017-08-01,0.022532
300,2017-09-01,0.003770
300,2017-10-01,0.044368
300,2017-11-01,-0.000154
300,2017-12-01,0.006180
300,2018-01-01,0.060792
300,2018-02-01,-0.058995
300,2018-03-01,-0.031102
300,2018-04-01,-0.036327
300,2018-05-01,0.012111
300,2018-06-01,-0.076634
300,2018-07-01,0.001900
300,2018-08-01,-0.052067
300,2018-09-01,0.031297
300,2018-10-01,-0.082888
300,2018-11-01,0.005982
300,2018-12-01,-0.051072